city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Bangkok,Thailand,2.74,28.80,5.76,2.30,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2.00,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,4.32,1.27,37.44,1.01,1.18,5.18,1.21,57600.86,26234.16,79.55,0.04,15.46,57.33,10.37,7.63,512.24,14520.66,56.55,38.02,83.60,96.88,594.58,285.95,2044.33,961.21,5534.11,2578.84,629.84,5.64,1.00
Karachi,Pakistan,2.24,11.18,3.80,2.12,2.68,1.41,0.29,0.19,0.80,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.79,1.41,1.85,1.34,0.22,11.18,0.67,0.16,1.79,1.05,13857.85,18980.66,66.56,0.01,20.72,16.52,6.05,4.47,51.71,1183.26,14.55,24.19,32.04,27.61,113.50,76.65,268.71,170.09,760.64,412.03,166.86,14.90,1.00
Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,2.03,0.28,13.23,0.41,0.14,1.02,0.40,21061.16,21147.47,26.53,0.01,16.37,23.44,8.49,4.48,146.82,2909.45,39.37,37.51,89.61,48.65,196.83,117.45,400.03,233.92,549.42,380.62,200.40,10.87,1.00
Sao Paulo,Brazil,7.66,38.32,6.71,2.30,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,2.30,0.84,45.98,1.05,0.77,9.58,1.26,21458.41,27234.36,69.27,0.29,21.55,25.04,32.46,8.62,414.71,9273.10,58.83,49.57,83.76,65.93,567.70,341.37,990.82,687.44,2542.37,1666.86,445.67,9.40,1.00
Mexico City,Mexico,7.74,39.97,6.70,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.30,1.45,1.50,1.57,1.44,0.99,0.83,11.35,1.42,2.55,3.61,0.31,15.69,1.03,0.52,6.19,1.20,19596.21,19925.13,48.85,0.10,26.67,45.15,20.37,4.64,329.13,7425.93,50.84,34.61,84.28,86.26,766.53,481.56,1480.77,850.84,2769.15,1695.80,718.92,10.57,1.00
Lagos,Nigeria,3.71,45.03,6.75,1.13,1.80,3.40,0.40,0.26,3.59,1.37,2.84,2.15,4.88,5.50,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,1.13,0.90,33.77,1.29,2.25,4.50,0.39,18911.68,33770.85,28.27,0.04,52.83,40.01,9.63,7.88,129.58,2916.01,20.05,26.88,68.40,68.08,1406.60,714.57,4929.84,2251.39,746.59,301.12,214.64,17.50,1.00
Kolkata,India,2.00,14.74,3.68,2.21,3.68,1.64,0.36,0.15,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.40,0.44,0.37,0.34,9.52,1.77,2.96,4.05,0.20,3.93,0.61,0.31,1.23,1.33,12281.76,22528.10,31.81,0.01,7.47,18.61,8.00,3.56,49.59,1624.54,28.94,26.31,49.43,34.08,148.65,84.89,388.92,248.24,1038.75,587.51,532.21,8.25,1.00
Beijing,China,4.27,31.32,5.69,1.42,4.13,4.62,0.52,0.42,2.01,2.17,1.25,1.94,13.04,3.95,12.80,2.03,1.89,1.98,1.48,0.88,1.00,0.88,0.64,12.81,1.03,2.44,4.27,0.71,42.71,1.99,0.43,11.39,1.20,24200.32,22446.36,55.64,0.04,20.83,57.48,30.37,8.54,980.31,27318.57,67.19,43.68,86.62,122.09,1199.13,673.25,2784.82,1453.74,17761.99,9644.53,1562.35,4.94,1.00
Moscow,Russia,12.80,64.00,6.40,4.00,4.00,3.34,1.28,0.72,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.80,0.73,1.47,0.85,11.20,1.16,2.44,3.20,0.82,38.40,2.56,0.24,8.61,0.85,35200.01,37946.86,145.92,0.04,8.30,52.91,33.44,8.00,632.00,11533.84,104.54,61.40,137.04,150.35,1141.40,664.37,2194.87,1164.92,7750.96,4203.06,1452.41,10.31,1.00
Tokyo,Japan,7.45,44.67,5.21,4.47,4.47,3.42,1.26,0.85,1.44,1.59,3.41,1.93,15.22,8.30,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,8.93,2.15,2.82,4.47,1.49,74.45,3.50,3.13,25.22,1.24,20102.00,17439.88,171.22,0.45,32.85,73.85,26.59,13.40,553.74,16096.49,46.26,37.63,64.81,105.90,1140.47,662.76,2526.51,1371.40,9144.73,5480.97,2868.80,1.10,1.00
Manila,Philippines,3.59,28.71,3.59,1.26,1.93,2.97,0.99,0.51,1.67,1.24,0.90,1.77,5.33,4.21,6.96,2.70,1.40,3.04,1.45,1.74,1.75,1.35,0.65,8.97,1.18,1.62,2.69,0.54,12.04,0.72,0.24,2.15,1.40,23324.66,18370.66,98.89,0.15,37.97,50.24,5.94,5.74,258.66,11021.54,39.02,28.23,72.61,65.07,541.63,278.10,1704.49,712.56,3578.46,2634.92,429.13,7.80,1.00
New York,United States,25.00,100.00,10.00,7.20,10.00,5.38,2.72,2.32,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,17.99,3.15,3.95,15.00,2.75,129.00,4.38,1.86,30.00,1.29,25000.00,23754.86,180.61,0.10,69.77,104.82,38.85,18.00,2444.17,40384.62,62.13,57.42,95.29,145.62,3851.51,2347.10,7146.84,4279.34,14784.44,9531.27,5944.31,5.40,1.00
Istanbul,Turkey,5.37,24.15,4.29,2.68,3.22,1.98,0.90,0.32,1.03,0.50,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,8.05,1.68,2.27,1.72,0.43,32.31,0.54,0.38,3.76,1.31,40249.22,33094.13,68.88,0.07,8.90,26.37,12.69,3.76,243.06,5152.51,47.96,31.58,78.86,62.09,554.82,316.01,1040.98,649.93,2374.69,1191.15,383.04,23.80,1.00
Buenos Aires,Argentina,6.12,25.00,5.00,1.92,2.42,1.78,1.04,0.81,0.77,1.29,0.95,1.37,6.54,4.00,6.42,1.36,1.20,0.73,1.41,0.64,0.73,1.06,0.73,3.73,1.22,1.95,2.00,0.15,10.00,1.00,0.52,4.78,0.97,26700.00,23229.18,48.19,0.24,21.87,23.63,8.57,5.00,227.64,4891.47,68.63,44.81,99.89,89.76,311.84,225.84,627.35,444.68,2518.29,2074.45,403.51,45.00,1.00
Bangalore,India,3.07,18.42,4.30,2.21,3.68,2.09,0.46,0.18,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,11.05,1.91,3.50,4.30,0.61,18.42,1.23,0.37,1.23,1.29,14738.11,24236.01,24.93,0.01,10.75,20.33,5.13,4.91,111.85,2681.52,30.92,32.34,46.69,37.25,240.59,145.91,639.32,355.79,1638.59,810.46,969.96,7.97,1.00
Lahore,Pakistan,1.56,17.88,3.58,3.13,4.02,1.81,0.23,0.17,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.20,0.68,0.71,0.67,0.33,0.39,0.27,0.31,0.45,0.83,1.05,1.12,0.18,6.71,0.67,0.22,2.12,1.08,13410.82,18871.50,92.43,0.01,23.83,16.09,8.26,4.47,56.01,1207.32,14.48,25.47,54.62,37.77,112.52,70.74,244.49,187.01,465.59,306.08,164.01,12.90,1.00
Chennai,India,2.18,12.28,4.91,2.21,4.30,1.63,0.44,0.18,0.61,0.50,0.68,0.85,6.15,3.19,5.80,2.50,0.78,1.35,0.51,0.50,0.45,0.63,0.37,5.53,1.81,3.12,4.42,0.31,12.28,1.23,0.25,1.23,1.32,12281.76,24164.54,33.92,0.01,9.48,17.77,6.30,2.46,71.79,1281.91,29.10,28.48,46.45,34.67,180.73,107.59,439.84,259.71,1948.95,690.30,552.68,7.78,1.00
Chengdu,China,2.85,24.77,5.05,1.14,2.85,3.75,0.42,0.29,1.97,1.46,1.17,2.15,14.80,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,7.83,1.06,1.88,2.99,0.43,26.61,1.28,0.28,4.27,1.19,21182.40,20208.69,36.49,0.03,10.57,40.16,14.24,5.69,367.75,18980.64,83.57,32.52,92.12,90.75,438.93,256.24,811.42,448.42,3855.30,2201.05,802.58,5.08,1.00
London,United Kingdom,18.45,79.95,8.61,7.26,6.15,4.14,2.12,1.69,1.35,1.25,2.15,2.93,7.92,8.19,12.30,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,11.07,2.38,2.87,15.99,3.20,184.50,4.92,2.09,35.42,2.16,29028.00,29001.52,299.36,0.13,35.92,52.08,14.49,14.76,1871.22,22061.73,89.10,40.65,91.32,104.69,2417.07,1750.50,4000.78,2832.24,14704.63,8657.28,4033.84,2.97,1.00
Wuhan,China,3.56,27.05,5.69,1.54,2.14,2.86,0.43,0.23,1.72,1.78,0.90,1.73,12.81,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.79,1.76,2.85,0.43,42.71,1.42,0.28,3.42,1.19,17993.65,15787.15,40.46,0.02,14.71,43.66,6.17,5.55,355.89,23251.29,64.06,46.27,105.53,76.81,350.19,177.94,896.84,373.68,3559.63,2306.15,963.86,4.99,1.00
Hyderabad,India,2.46,12.28,5.53,1.84,3.68,2.01,0.45,0.18,0.74,0.56,0.68,0.89,5.79,3.56,6.79,2.66,0.71,1.31,0.54,0.45,0.41,0.72,0.37,11.67,1.90,3.14,4.05,0.55,12.28,0.98,0.31,1.23,1.38,12281.76,23774.80,28.69,0.01,8.87,23.21,7.59,3.68,72.78,2232.39,27.68,30.55,49.08,39.26,173.77,110.68,432.93,276.74,1132.49,629.51,531.45,7.87,1.00
Tehran,Iran,4.00,30.00,4.98,0.80,1.94,1.51,0.93,0.77,0.81,0.53,3.72,1.30,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.60,0.50,0.51,0.30,1.00,0.50,1.27,2.88,0.36,16.41,0.50,0.36,3.00,0.72,65000.00,54950.14,21.10,0.01,13.96,20.43,16.20,1.50,132.60,1605.63,53.37,46.53,138.76,91.91,541.33,428.83,1337.72,921.78,2183.10,1280.31,294.97,20.00,1.00
Paris,France,15.81,63.22,10.54,7.38,6.32,3.89,2.88,2.44,1.24,2.11,2.29,3.67,17.51,13.01,23.13,3.18,2.13,2.85,3.88,2.30,2.26,1.53,0.85,8.43,2.11,3.03,11.06,2.00,79.03,5.27,1.92,47.95,2.13,23182.39,28681.63,199.44,0.18,31.36,37.70,14.16,13.17,772.75,17311.53,103.86,42.52,93.61,136.10,1365.19,1004.57,3027.12,2065.93,13043.59,9239.64,2752.34,1.69,1.00
Nagoya,Japan,7.45,37.23,5.21,2.98,3.72,2.65,1.03,0.78,1.51,1.37,3.72,1.81,15.49,9.06,18.61,6.20,2.29,3.96,6.33,4.09,2.26,1.41,0.81,7.45,1.92,1.69,3.98,1.79,74.45,3.35,3.35,22.34,1.23,18612.96,22335.55,206.04,0.24,31.57,67.01,23.58,13.40,657.66,14890.37,36.61,26.80,52.12,96.79,844.28,440.51,3190.79,3350.33,3494.13,2009.97,2444.12,1.00,1.00
Ho Chi Minh City,Vietnam,2.04,24.48,4.08,1.02,2.04,2.02,0.55,0.30,1.49,1.17,0.93,1.52,10.24,3.42,11.65,3.26,1.05,1.37,1.20,1.31,1.44,1.02,0.51,8.16,0.87,1.47,1.22,0.29,5.51,0.51,0.65,2.04,1.11,40795.51,36393.31,74.15,0.06,11.48,26.72,11.68,3.67,263.32,13853.48,45.63,35.57,88.58,96.65,493.77,292.91,1207.45,611.02,4404.92,1947.26,487.51,9.11,1.00
Los Angeles,United States,20.00,88.59,10.00,8.00,8.00,4.94,2.70,2.30,1.14,3.80,5.64,3.84,12.63,11.58,17.89,4.15,1.78,3.46,4.23,2.76,2.22,1.79,2.00,12.00,2.56,2.95,11.25,1.75,99.50,4.00,1.71,29.19,1.59,25000.00,22886.54,140.05,0.12,67.95,45.73,11.86,15.99,1361.25,22929.57,59.39,40.75,93.93,133.00,2527.29,1973.00,4630.53,3599.83,9219.44,6135.43,5456.15,5.18,1.00
Baoding,China,nan,14.24,3.99,nan,nan,2.85,0.47,nan,1.99,1.14,0.43,1.02,nan,2.14,11.39,1.42,0.85,0.71,0.57,1.42,nan,nan,nan,nan,1.00,2.85,nan,nan,14.24,nan,0.21,3.42,nan,19929.68,19217.90,36.30,0.08,9.96,nan,nan,7.83,384.36,nan,71.18,35.59,99.65,284.71,nan,nan,nan,nan,1992.97,nan,533.83,3.00,0.00
Lima,Peru,3.92,22.19,5.22,2.09,3.92,2.66,0.86,0.57,1.22,1.83,1.11,1.81,6.89,4.99,8.20,1.54,1.02,0.93,0.98,0.74,0.89,0.72,0.72,7.83,1.60,2.33,5.22,0.52,15.66,2.61,1.44,6.27,1.31,18274.38,21697.31,71.32,0.18,30.91,37.19,12.40,5.48,213.50,5851.01,43.81,28.35,71.57,68.37,511.24,349.69,954.12,701.14,1962.17,1483.10,489.76,8.29,1.00
Rio de Janeiro,Brazil,6.71,28.74,6.71,1.92,2.87,1.57,1.12,0.77,1.07,1.53,1.19,1.90,8.28,3.72,8.41,1.86,1.22,1.05,1.69,1.09,1.00,0.58,0.55,8.62,1.13,2.36,1.92,0.86,48.09,1.15,0.79,11.50,1.38,17243.36,26731.20,93.12,0.33,20.10,27.66,37.68,6.71,472.60,7009.11,40.99,42.03,64.31,58.49,396.55,254.46,795.11,573.98,2116.26,1293.93,363.15,9.68,1.00
Tianjin,China,4.27,28.47,6.41,1.42,2.14,3.54,0.46,0.28,1.91,1.55,0.95,1.25,14.59,2.96,10.56,1.25,1.37,1.36,1.12,0.74,0.74,0.71,0.67,14.24,1.07,1.42,2.92,0.43,15.78,1.64,0.31,6.26,1.20,19217.90,19217.90,76.64,0.04,11.08,42.71,14.24,7.12,565.86,9359.83,54.89,42.66,78.97,74.69,391.48,275.22,1085.46,569.42,5576.09,3558.87,875.36,5.20,1.00
Nanyang,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.25,2.33,1.11,0.59,1.09,nan,4.63,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,11.39,0.78,2.14,2.85,nan,nan,1.42,0.21,5.69,1.17,16370.81,18506.13,67.77,0.02,8.12,nan,nan,5.34,711.77,nan,71.18,32.03,83.51,110.32,nan,113.88,nan,nan,nan,nan,427.06,5.17,0.00
Shijiazhuang,China,3.20,19.22,4.98,0.78,1.42,3.54,0.41,0.28,1.42,1.42,0.71,1.25,11.39,2.96,9.96,0.85,1.37,0.71,0.71,0.43,0.43,0.21,0.43,14.24,0.71,1.42,2.92,nan,nan,1.64,0.28,3.56,1.16,17082.58,14235.48,76.64,0.01,9.11,38.55,13.52,5.69,332.16,9359.83,40.33,35.59,78.30,49.82,213.53,128.12,427.06,284.71,2562.39,1850.61,854.13,5.20,0.00
Zhengzhou,China,2.14,17.08,4.27,0.78,2.28,3.27,0.44,0.28,1.77,1.71,0.73,1.48,17.79,2.33,10.92,1.00,0.95,0.85,0.89,0.59,0.49,0.33,0.57,12.10,0.95,1.74,2.85,0.14,6.26,1.14,0.34,2.56,1.16,21282.05,22231.08,52.99,0.02,9.68,80.67,5.22,6.41,284.71,4982.42,43.18,37.96,113.88,110.32,266.92,163.71,519.60,330.97,2746.29,1783.41,586.03,5.47,1.00
Luanda,Angola,7.84,64.25,10.51,2.20,1.50,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.60,4.50,0.76,3.47,3.34,2.50,2.17,1.18,0.48,10.02,0.78,0.79,2.00,0.59,31.78,1.67,1.67,8.00,0.33,22541.71,23628.30,30.78,0.10,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77,25.00,0.00
Weifang,China,2.85,14.24,5.34,1.14,2.14,3.46,0.71,0.28,1.78,1.07,1.00,nan,8.54,3.13,8.54,1.14,nan,1.14,0.85,0.71,0.57,0.43,0.57,5.69,0.71,1.85,2.85,nan,nan,nan,0.23,4.56,1.16,20285.56,16726.69,45.79,0.03,6.41,nan,nan,5.69,nan,24200.32,41.00,37.72,78.30,85.41,nan,nan,nan,nan,nan,nan,nan,4.50,0.00
Linyi,China,2.85,21.35,4.27,1.14,1.99,2.73,0.42,0.21,1.71,1.11,0.59,1.09,nan,3.42,6.41,1.19,0.85,1.42,0.81,0.38,0.36,0.71,0.57,11.39,0.71,2.14,2.85,nan,12.81,1.42,0.21,5.69,0.95,15659.03,18506.13,67.77,0.02,8.12,nan,nan,5.34,284.71,nan,71.18,32.03,71.18,110.32,213.53,113.88,640.60,355.89,2135.32,996.48,569.42,5.00,0.00
Chicago,United States,20.00,80.00,10.00,6.00,6.50,4.83,2.29,1.99,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,13.99,2.75,3.69,15.00,2.50,80.00,3.50,2.11,30.00,1.39,23197.50,24878.12,163.78,0.33,62.56,58.26,8.12,15.00,1661.69,19997.72,56.05,37.81,86.95,95.95,1969.12,1452.61,3972.22,2450.00,3498.00,2389.59,4819.49,5.59,1.00
Hanoi,Vietnam,2.04,19.90,5.30,0.82,1.63,1.91,0.43,0.27,1.36,0.92,1.00,1.49,10.59,3.48,10.50,2.74,1.09,1.52,1.18,0.99,1.19,0.80,0.60,6.12,0.82,1.56,1.43,0.29,8.16,0.65,0.49,3.26,1.11,40795.51,32899.31,74.36,0.09,9.66,25.41,6.94,4.08,241.37,12070.22,34.45,29.14,72.53,59.97,329.82,206.70,865.47,458.27,2255.75,1285.06,510.15,9.86,1.00
Chongqing,China,2.85,17.08,4.84,0.85,2.85,3.75,0.42,0.27,1.83,1.36,0.93,1.88,9.73,3.63,12.74,1.71,1.30,1.32,1.07,0.64,1.21,0.47,0.54,4.98,0.74,2.04,3.56,0.43,56.94,1.42,0.36,2.73,1.19,21182.40,17054.11,45.92,0.02,10.91,27.51,7.12,4.98,355.89,21353.23,31.67,23.23,73.50,55.52,273.32,167.27,444.93,309.62,2763.72,1850.61,747.36,5.33,1.00
Ganzhou,China,3.20,19.22,6.26,0.57,1.71,2.56,0.43,0.28,1.38,3.14,0.93,1.42,nan,2.80,4.41,2.28,1.28,1.42,1.00,0.46,0.44,0.46,0.53,7.83,0.43,nan,2.49,0.14,7.12,1.42,0.20,1.71,1.28,20285.56,20641.45,42.69,0.02,13.52,88.97,4.27,5.69,nan,7117.74,44.13,28.47,61.92,45.08,nan,156.59,996.48,298.95,2704.74,1850.61,nan,3.75,0.00
Ahmedabad,India,2.46,12.28,3.68,3.38,5.53,1.68,0.44,0.18,0.71,0.54,0.71,1.05,6.21,3.57,6.21,1.91,0.58,1.07,0.60,0.35,0.45,0.77,0.35,9.52,1.86,4.65,4.05,0.31,6.14,0.68,0.18,1.54,1.23,15352.20,21109.28,39.47,0.01,7.89,15.83,14.04,3.07,54.04,1403.96,27.40,27.50,50.59,35.56,461.38,393.19,459.70,292.04,1038.45,494.32,433.96,7.79,1.00
Pune,India,3.68,14.74,4.30,2.46,3.68,1.96,0.42,0.16,0.74,0.49,0.70,0.95,6.16,3.32,6.02,2.15,0.68,1.28,0.57,0.41,0.41,0.59,0.36,7.98,2.12,3.21,4.05,0.37,11.05,0.49,0.31,1.23,1.39,12281.76,21989.65,25.46,0.01,9.57,20.63,6.49,3.68,86.38,1762.79,29.56,30.88,42.84,34.39,219.79,134.73,485.56,312.84,1690.47,977.18,803.85,8.00,1.00
Foshan,China,2.85,21.35,4.98,0.85,1.71,3.31,0.43,0.28,1.76,1.63,0.78,1.71,14.24,2.89,11.75,1.85,1.44,1.82,1.31,0.74,1.00,0.49,0.51,11.39,0.78,1.78,3.70,0.28,7.12,1.71,0.37,4.27,1.19,21353.23,21353.23,49.82,0.02,16.66,64.06,12.81,6.05,555.18,24556.21,53.31,23.68,54.57,28.47,355.89,203.09,616.87,427.06,5456.94,2491.21,960.90,5.19,0.00
Tongshan,China,3.56,21.35,4.98,0.71,1.92,2.86,0.43,0.23,1.72,1.78,0.90,1.82,5.69,4.24,13.53,1.78,1.49,1.57,1.28,0.87,1.21,0.52,0.59,14.24,0.71,1.76,2.85,0.28,28.47,1.28,0.28,5.68,1.19,22563.24,22563.24,40.46,0.02,14.71,28.47,11.39,5.55,284.71,23251.29,64.06,44.45,99.65,74.02,384.36,234.89,703.08,380.80,2348.85,1459.14,727.43,4.46,0.00
Heze,China,nan,nan,4.98,nan,nan,4.27,0.50,0.25,1.78,2.53,1.82,0.85,11.39,3.13,22.78,2.28,nan,nan,nan,1.99,nan,1.42,0.85,10.68,1.14,2.56,2.85,nan,nan,nan,0.57,nan,nan,nan,nan,92.53,nan,14.24,nan,nan,4.98,nan,nan,71.18,nan,74.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
Changchun,China,2.85,17.08,4.73,2.49,1.42,2.99,0.32,0.21,1.61,1.20,0.90,1.45,10.68,2.81,11.39,1.39,0.71,1.21,0.90,0.57,0.71,0.57,0.57,5.69,0.48,1.99,3.56,0.28,8.54,1.14,0.27,3.42,1.16,20997.34,22420.89,53.62,0.02,11.86,42.11,12.81,8.54,284.71,14947.26,28.47,42.66,85.41,118.63,320.30,220.65,640.60,462.65,1708.26,5478.20,1263.76,5.63,0.00
Nanjing,China,3.13,21.35,4.63,0.90,1.42,3.29,0.45,0.31,2.23,1.67,1.10,1.86,7.83,3.68,11.70,1.45,1.60,1.99,1.41,1.01,1.20,0.93,0.53,12.81,0.71,1.67,3.56,0.57,15.47,1.57,0.43,4.27,1.18,21353.23,20000.85,56.41,0.02,6.69,22.38,26.57,6.83,135.28,21356.36,54.95,33.78,72.96,81.84,506.84,298.98,1174.54,634.96,7231.63,3607.11,1146.18,5.24,1.00
